symbol,sector,exchange
KPITTECH,Information Technology,NSE
KRBL,Fast Moving Consumer Goods,NSE
KRN,Capital Goods,NSE
KSB,Capital Goods,NSE
KAJARIACER,Consumer Durables,NSE
KPIL,Construction,NSE
KALYANKJIL,Consumer Durables,NSE
KANSAINER,Consumer Durables,NSE
KTKBANK,Financial Services,NSE
KARURVYSYA,Financial Services,NSE
KSCL,Fast Moving Consumer Goods,NSE
KAYNES,Capital Goods,NSE
KEC,Construction,NSE
KFINTECH,Financial Services,NSE
KIRLOSBROS,Capital Goods,NSE
KIRLOSENG,Capital Goods,NSE
KIRLPNU,Capital Goods,NSE
KITEX,Textiles,NSE
KOTAKBANK,Financial Services,NSE
KIMS,Healthcare,NSE
LTF,Financial Services,NSE
LTTS,Information Technology,NSE
LGEINDIA,Consumer Durables,NSE
LICHSGFIN,Financial Services,NSE
LTFOODS,Fast Moving Consumer Goods,NSE
LTM,Information Technology,NSE
LT,Construction,NSE
LATENTVIEW,Information Technology,NSE
LAURUSLABS,Healthcare,NSE
LXCHEM,Chemicals,NSE
IXIGO,Consumer Services,NSE
THELEELA,Consumer Services,NSE
LEMONTREE,Consumer Services,NSE
LENSKART,Consumer Services,NSE
LICI,Financial Services,NSE
LINDEINDIA,Chemicals,NSE
LLOYDSENGG,Capital Goods,NSE
LLOYDSENT,Metals & Mining,NSE
LLOYDSME,Metals & Mining,NSE
LODHA,Realty,NSE
LUMAXTECH,Automobile and Auto Components,NSE
LUPIN,Healthcare,NSE
MMTC,Services,NSE
MOIL,Metals & Mining,NSE
MRF,Automobile and Auto Components,NSE
MSTCLTD,Services,NSE
MTARTECH,Capital Goods,NSE
MGL,Oil Gas & Consumable Fuels,NSE
MAHSCOOTER,Financial Services,NSE
MAHSEAMLES,Capital Goods,NSE
M&MFIN,Financial Services,NSE
M&M,Automobile and Auto Components,NSE
MANAPPURAM,Financial Services,NSE
MRPL,Oil Gas & Consumable Fuels,NSE
MANKIND,Healthcare,NSE
MANORAMA,Fast Moving Consumer Goods,NSE
MARICO,Fast Moving Consumer Goods,NSE
MARKSANS,Healthcare,NSE
MARUTI,Automobile and Auto Components,NSE
MASTEK,Information Technology,NSE
MFSL,Financial Services,NSE
MAXHEALTH,Healthcare,NSE
MAZDOCK,Capital Goods,NSE
MEDPLUS,Consumer Services,NSE
MEESHO,Consumer Services,NSE
